鋻	giám
仅	cẩn, cận
仆	bộc, phó
仇	câu, cừu
仉	chưởng
今	kim
介	giới
仌	băng
仍	nhưng
从	thung, tung, tòng, tùng, túng, tụng
仏	phật
仑	luân, lôn
仓	thương, thảng, xương
以	dĩ
仔	tể, tử
仕	sĩ
他	tha, đà
仗	trượng
付	phó, phụ
仙	tiên
仛	sá, đạc
仝	đồng
仞	nhận
仟	thiên
仡	ngật
代	đại
令	linh, lệnh, lịnh
仨	ta
仪	nghi
仫	mu
们	môn
仭	nhận
伋	cấp
仮	giá, giả
仯	sáo
仰	ngang, ngưỡng, nhạng
仱	căng, kinh, kiền
仲	trọng
仳	tỳ, tỷ
仵	ngỗ
件	kiện
价	giá, giới
任	nhiệm, nhâm, nhậm
份	bân, phân, phần
仿	phảng, phỏng
伀	chung
企	xí
伃	dư
伄	điếu
伅	đồn, độn
伇	dịch
伈	tẩm
伉	kháng
伊	y
伍	ngũ
伎	ky, kĩ, kỹ
伏	bặc, phu, phúc, phục
伐	phạt
休	hu, hưu
伕	phu
众	chúng
优	ưu
伙	hỏa, khỏa, lõa
会	cối, hội
伛	Ủ, ủ
伝	truyền, truyện
伞	tán, tản
伟	vĩ
传	truyến, truyền, truyện
伤	thương
伥	trành
伦	luân
伧	sanh
伪	ngụy
伫	trữ
似	tự, tựa
佢	cừ, cử, cự
佤	ngõa
氽	thoản, thận, thộn
㐹	ngật
伯	bá, bách
估	cổ
伱	nhĩ, nễ
伲	nễ
伴	bạn, phán
伶	linh
伸	thân
伺	tí, tý, tứ
伻	bình
伽	cà, gia, già
伾	phi
佀	tự
佁	sỉ, tỷ
佂	chinh
佃	điền
佅	mại
但	đán, đãn
佇	trữ
佈	bố
佉	khư
佊	bỉ
佋	chiêu, thiệu
位	vị
低	đê
住	trú, trụ
佐	tá
佑	hữu, hựu
体	bổn, thể
佔	chiêm, chiếm
何	hà
佖	tất
佗	tha, đà
佘	xà
余	dư, xà
佚	dật, điệt
佛	bật, bột, phất, phật
作	tá, tác
佝	câu
佞	nịnh
佟	đông, đồng
你	nhĩ, nễ
佣	dong, dung, dụng
佥	thiêm
佧	kha
佌	thử
佩	bội
佪	hồi
佬	lão
佯	dương
佰	bách, mạch
佳	giai
佴	nhị, nại
併	tính
佶	cát
佷	hận, ngận
佸	quát
佹	quỷ
佺	thuyên, toàn
佻	dao, diêu, khiêu, thiêu, điêu, điểu, điệu
佼	giao, giảo
佽	thứ
佾	dật
使	sứ, sử
侀	hinh
侁	sân, thân, tân
侂	thác
侃	khản
侄	chất, trất, điệt
侅	cai
來	lai, lãi
侇	di
侈	xỉ
侉	khoa
侊	quang
例	lệ
侌	âm
侍	thị
侎	mị
侏	chu, thù
侐	hức, tuất
侑	hựu
侔	mâu
侖	luân, lôn
侗	thông, thống, đồng, động
侘	sá
侚	tuẫn
供	cung, cúng
侜	chu, trưu
依	y, ỷ
侞	như
侠	hiệp
価	giá
侣	lữ
侥	kiểu, nghiêu
侦	trinh
侧	trắc
侨	kiều
侩	khoái, quái
侪	sài
侫	nịnh
侬	nông, nùng
侭	tẫn, tận
侹	thính, đĩnh, đỉnh
侮	hối, vũ
侯	hầu, hậu
侰	quẫn
侲	chấn
侳	tóa
侵	thẩm, tẩm, xâm
侶	lữ
侷	cục
侻	thoát, đoái
侼	bột
便	tiện
俁	ngu, vũ
係	hệ
促	xúc
俄	nga
俅	cầu, cừu
俆	từ
俇	cuống
俈	khốc
俉	ngộ
俊	tuấn
俋	ấp
俌	phụ
俍	lang, lương
俎	trở
俏	tiêu, tiếu
俐	lị, lợi
俑	dõng, dũng, thông
俒	hoàn
俓	kính
俔	hiện, khiếm
俕	tám
俖	bội
俗	tục
俘	phu
俙	hy
俚	lí, lý
俛	miễn, phủ
俜	binh, sính
保	bảo
俞	du, dũ
俟	sĩ
俠	hiệp
信	thân, tín
俣	vũ
俦	thù, trù
俧	chi
俨	nghiễm
俩	lưỡng
俪	lệ
俫	lai, lại
俬	tư
俭	kiệm
修	tu
俯	phủ
俱	câu
俳	bài, bồi
俴	kiến, tiễn
俵	biểu
俶	thích, thục
俷	phị
俸	bổng
俺	yêm
俻	bị
俽	hân
俾	tỉ, tỷ
倀	trành
倂	tính
倅	thối, toái, tốt
倆	lưỡng
倈	lai, lại
倉	sảng, thương, thảng, xương
個	cá
倌	quan
倍	bội
倏	thúc
倐	thúc
們	môn
倒	đáo, đảo
倓	đàm, đảm
倔	quật
倕	thùy
倖	hãnh
倘	thảng
候	hậu
倚	kỳ, ỷ
倜	thích
倝	cán
倞	kính, lượng
借	tá
倠	huy
倡	xương, xướng
倢	tiệp
倣	phóng, phảng, phỏng
値	trị, trực
倥	không
倦	quyện
倧	tông
倨	cứ
倩	sai, sảnh, thiến, thính
倪	nghê
倫	luân
倬	trác
倭	nụy, oa, oải, uy
倮	khõa, khỏa, lõa
倯	tùng
倱	hỗn
倲	đông
倳	trị
倴	bôn
倶	câu
倷	nãi, nại
倸	thải
倹	kiệm
债	trái
值	trị
倽	xá
倾	khuynh
偌	nhược, nhạ
健	kiện
偁	xưng, xứng
偃	yển
偄	noàn, nuyên
偅	chủng, động
假	giá, giả, hà
偈	khế, kệ
偉	vĩ
偊	chủ, củ, vũ
偋	bình, bính
偍	đề
偎	ôi
偏	thiên
偒	dị
偓	ác, ốc
偕	giai
偘	khản
做	tố
停	đình
偝	bội
偞	diệp
偟	hoàng
偠	yểu
偢	thiễu, thu, tiễu
偩	phụ
偪	bức, phúc
偫	trĩ
偬	tổng
偭	diện, miến, mạn
偯	ai, ỷ
偰	tiết
偲	tai, ti, ty
側	trắc
偵	trinh
偶	ngẫu
偷	du, thâu
偸	du, thâu
偹	bị
偺	cha, tảm
偻	lâu, lũ
偽	ngụy
偾	phẫn
偿	thường
傀	khôi, khổi, quỷ, ổi
傞	ta, thoa
偨	sai
傃	tộ
傅	phu, phó, phụ
傈	lật
傉	nục
傋	cấu
傌	mã, mạ
傍	bàng, bạng
傎	điên
傑	kiệt
傒	hề, hễ
傓	phiến
傔	khiểm
傕	giác, quyết
傖	sanh, thảng
傘	tán, tản
備	bị
傚	hiệu
傛	dung
傜	dao
傝	tháp
傢	gia
傣	thái
傥	thảng
傧	tân, tấn
储	trừ, trữ
傩	na
傲	ngạo
僃	bị
催	thôi
傭	dong, dung, dũng
傮	tao
傯	tổng
傱	tủng
傳	truyến, truyền, truyện
傴	ủ
債	trái
傷	thương
傹	cương
傺	sế
傻	sọa, sỏa, xọa
傽	chương
傾	khuynh
僁	tiết, tất
僂	lâu, lũ
僄	phiêu, phiếu, tiêu
僅	cẩn, cận
僇	lục
僈	mạn
僉	thiêm
僋	thám
僌	tái, tải
働	động
像	tương, tượng
僊	tiên
僎	chuyến, soạn, tuân
僐	thiện
僑	kiều
僒	quẫn
僓	thối, đôi
僔	tổn
僕	bộc
僖	hi, hy
僗	lao
僚	liêu
僛	khi
僝	sàn, sạn
僞	ngụy
僡	huệ
僢	xuyên, xuyển
僣	thiết, tiếm
僤	đàn, đạn, đản
僥	kiểu, nghiêu
僦	tựu
僧	tăng
僨	phẫn
僩	dản, gián, giản, nhàn
僬	tiêu
僭	tiếm
僮	tráng, đồng
僰	bặc
僱	cố
僲	tiên
僳	túc
僴	giản
僷	diệp
儁	tuấn
儆	cảnh
僵	cương, thương
僶	miễn, mẫn
僸	cấm
價	giá, giới
僻	tích, tịch
僽	sậu
𥱬	ghi
㑏	giữ
僾	ái
僿	tái
儀	nghi, nghè
儂	nông, nùng
儃	bồi, thản
億	ức
儅	đang, đáng, đương
儇	huyên
儈	khoái, quái
儉	kiệm
儊	sứ
儋	đam, đảm
儌	kiêu
儍	sọa, sỏa, xọa
儎	tái, tải
儚	manh, mộng
儐	tân, tấn
儒	nho, nhu
儓	thải, đài, đại
儔	thù, trù
儕	sài
儗	nghĩ
儘	tần, tẫn, tận
儛	vũ
儜	ninh
儞	nhĩ, nễ
償	thường
儠	liệp
儡	lỗi
儢	lữ
儤	bạo
儥	dục, độc
儩	tứ
優	ưu
儲	trừ, trữ
儭	sấn, thân
儮	lịch
儵	thúc
儱	lung, lũng
儳	sàm, sảm
儴	nhương
儷	lệ
儸	la
儹	toản
儺	na
儼	nghiễm
儻	thảng
儽	luy
儾	nang
儿	nhi, nhân
兀	ngoạt, ngột, ô
允	doãn, duẫn
元	nguyên
兄	huynh, huống
充	sung
兆	triệu
兇	hung
先	tiên, tiến
光	quang
兊	đoài, đoái
尧	nghiêu
克	khắc
兌	duyệt, duệ, nhuệ, đoài, đoái
免	miễn, vấn
兎	thỏ, thố
児	nhi
兑	đoài, đoái
兕	hủy
兒	nghê, nhi
兓	tán, tâm
兔	thỏ, thố
兖	duyễn, duyện
兗	duyễn, duyện
兙	thập khắc
党	đảng
兛	thiên khắc
兜	đâu
兟	sân
兢	căng
入	nhập
兦	vong
內	nạp, nội
内	nạp, nội
全	toàn
兩	lưỡng, lượng, lạng
兪	du
八	bát
公	công
六	lục
兮	a, hề
兰	lan
共	cung, cộng, củng
兲	thiên
关	loan, quan, tiếu
兴	hưng, hứng
兑	đoài, đoái
兵	binh
其	cơ, ki, ky, kì, kí, ký, kỳ
具	cụ
典	điển
单	thiền, thiện, đan, đơn
兹	ty, tư, từ
养	dường, dưỡng, dượng, dạng
总	tổng
㒸	toại
兼	kiêm
兽	thú
兾	kí, ký
舆	dư
冀	kí, ký
冁	sản, xiên
冂	quynh
冃	mạo
冄	nhiễm
内	nạp, nội
円	viên
冇	mão
冈	cương
冉	nhiễm
冊	sách
冋	quynh
册	sách
冎	quả
囘	hối, hồi
再	tái
冏	quýnh
冐	mạo
冑	trụ
冒	mạo, mặc
冓	cấu
冔	hu
冕	miện
最	tối
㒿	ly
冖	mịch
冗	nhũng
冘	dâm
写	tả
军	quân
农	nông, nùng
冞	my
冠	quan, quán
冡	mông
冢	trũng, trủng
冣	tối
冤	oan
冥	minh
冦	khấu
冨	phú
幂	mạc, mịch
冩	tả
冪	mạc, mịch
冫	băng
习	tập
冬	đông
冯	bằng, phùng
冰	băng, ngưng
冱	hỗ, hộ
冲	trùng, xung
决	huyết, khuyết, quyết
况	huống
冶	dã
冷	lãnh
冹	phu, phất
冻	đông, đống
冽	liệt
净	tịnh
凂	miễn, mỗi
凄	thê
准	chuyết, chuẩn
凇	tung, tùng
凈	tịnh
凉	lương, lượng
凊	sảnh, thính, thảnh
凋	điêu
凌	lăng
凍	đông, đống
减	giảm
凑	thấu, tấu
凒	ngai
凓	lật
凔	sương, sảng, thương
凖	chuẩn
凘	tư
凙	đạc
凛	lẫm
凜	lẫm
凝	ngưng
凟	độc
几	cơ, ki, ky, kì, kỉ, kỷ, ỷ
凡	hoàn, phàm
凢	phàm
凤	phượng, phụng
凥	cư
処	xứ, xử
凫	phù
凭	bằng, bẵng
凯	khải
凰	hoàng
凱	khải
凳	đắng
凴	bằng
凵	khảm
凶	hung
凷	khối
凸	đột
凹	ao
出	xúy, xuất, xích
击	kích
凼	đãng
函	hàm
凾	hàm
凿	tạc
刀	đao
刁	điêu
刂	đao
刃	nhẫn, nhận
刄	lượng, lạng
刅	sang
分	phân, phần, phận
切	thiết, thế
刈	ngải
刉	ky
刊	khan, san
刌	thiển
刍	sô
争	tranh, tránh
刎	vẫn
刏	ky
刑	hình
划	hoa, họa, hoạch, quả
刓	ngoan
刖	ngoạt, nguyệt
列	liệt
刘	lưu
则	tắc
刚	cang, cương
创	sang, sáng
刜	phất
初	sơ
删	san
判	phán
別	biệt
刦	kiếp
刧	kiếp
刨	bào
利	lợi
刪	san
别	biệt
刬	sạn, sản
刭	hĩnh
刮	quát
到	đáo
刱	sang, sáng
刲	khuê
刳	khô
刴	đóa
刵	nhĩ, nhị
制	chế
刷	loát, xoát
券	khoán
刹	sát
刺	thích, thứ
刻	hặc, khắc
刼	kiếp
刽	khoái, quái
刾	thích, thứ
刿	quế
剀	cai, cái, khải
剁	đóa
剂	tề, tễ, tệ
㓡	phủ
剃	thế
剄	hĩnh, kinh
剅	lâu
則	tắc
剉	tỏa
削	sảo, tước
剋	khắc
剌	lạt
前	tiền, tiễn
剎	sa, sát
剏	sang, sáng
剐	quả
剑	kiếm
荆	kinh
剒	thố
剔	dịch, thế
剕	phí, phỉ
剖	phẫu
剗	sạn, sản
剙	sang, sáng
剚	chí, trí, tứ
剛	cang, cương
剜	oan
剝	bác, phốc
剞	cơ, kỉ, kỳ, kỷ, ỷ
剟	xuyết
剠	kinh, kình, lược
剡	diệm
剢	trác
剣	kiếm
剤	tễ
剥	bác
剧	kịch
剮	quả
剨	họa, hoạch, lưu
剪	tiễn
剬	đoan
剭	ốc
副	phó, phốc, phức
剰	thặng, thừa
剱	kiếm
剳	tráp
剩	thặng
割	cát
剴	cai, cái, khải
創	sang, sáng
剷	sản
剸	chuyên, chuyển
剹	lục
剺	li, ly
剽	phiêu, phiếu, phiểu
剿	tiễu
劀	quất
劂	quyết
劃	hoạch
劄	tráp, trát
劇	kịch
劈	phách
劉	lưu
劊	khoái, quái
劋	giảo, tiễu
劌	quế
劍	kiếm
劎	kiếm
劐	hoát
劑	tề, tễ, tệ
劒	kiếm
劓	nhị, tị, tỵ
劔	kiếm
劖	sàm, thiền
劗	tiễn
劘	mi, my
劙	ly
劚	chủ
力	lực
劝	khuyến
办	biện, bạn
功	công
加	gia
务	vũ, vụ
劢	mại
劣	liệt
劦	hiệp
动	động
助	trợ
努	nỗ
劫	kiếp
劬	cù
劭	thiệu
励	lệ
劲	kình, kính
劳	lao, lạo
労	lao
劵	quyển
効	hiệu
劻	khuông
劼	cật
劾	hặc
势	thế
勁	kình, kính
勃	bột
勅	sắc
勇	dũng
勉	miễn, mẫn
勊	khắc
勋	huân
勌	quyển, quyện
勍	kình
勐	mãnh
勑	lai, lại, sắc
務	vũ, vụ
勒	lặc
勔	miễn, mẫn
動	động
勖	húc, úc
勗	húc, úc
勘	khám
勚	duệ
勛	huân
勝	thăng, thắng
勞	lao, lạo
募	mộ
勠	lục
勢	thế
勣	tích
勤	cần
勦	tiễu
勧	cần
勩	duệ
勪	kiểu
勱	mại
勮	cự, kịch
勯	đan, đàn
勰	hiệp
勲	huân
勳	huân
勵	lệ
勴	lự
勷	nhương
勸	khuyến
勹	bao
勺	chước, thược
勻	quân
勼	cưu
勽	bão
勾	câu, cấu
勿	vật
匀	quân
匂	cái
匃	cái
匄	cái
包	bao
匆	thông
匈	hung
匉	phanh
匊	cúc
匋	đào
匌	cáp
匍	bồ
匏	biều, bào
匐	bặc
匒	đáp
匓	cứu
匑	cung
匔	cung, khung
匕	chuỷ, truỷ, tỷ
化	hoa, hóa
北	bắc, bối, bội
匙	thi
匚	phương
匜	di, dị
匝	táp, tạp
匟	kháng
匠	tượng
匡	khuông
匣	hạp
匦	quỹ
匧	kiếp
匪	phỉ
匫	hốt
匭	quỹ
匮	quỹ
匯	hối, hội
匰	đan, đơn
匱	quỹ
匳	liêm
赜	trách
匴	toán
匵	độc
匶	cữu, cựu
匸	hễ, hệ
匹	mộc, thất
区	khu, âu
医	y, ế
匼	hạp, ảm
匽	yển
匿	nặc
匾	biền, biển
區	khu, âu
十	thập
卂	tín
千	thiên
卄	chấp, nhập
卅	táp, tạp
卆	thốt, tốt
升	thăng
午	ngọ
卍	vạn
卐	vạn
卉	hủy
半	bán
卌	tấp
卋	thế
华	hoa, hóa
协	hiệp
克	khắc
丧	tang, táng
卑	ti, ty
卒	thốt, tuất, tốt
卓	trác
協	hiệp
单	thiền, thiện, đan, đơn
卖	mại
南	na, nam
啬	sắc
博	bác
颦	tần
卜	bặc, bốc
卝	khoáng, quán
卞	biện
卟	kê
占	chiêm, chiếm
卡	ca, khải, sá, tạp
卢	lô, lư
贞	trinh
卣	dữu
卤	lỗ
卦	quái
卧	ngọa
卨	tiết
卩	tiết
卫	vệ
卬	ngang
卭	cung, ngang
卮	chi
卯	mão, mẹo
印	ấn
危	nguy, quỵ
卲	thiều, thiệu
即	tức
却	khước, ngang, tức
卵	côn, noãn
卷	quyến, quyền, quyển
卹	tuất
卺	cẩn
卸	tá
卻	khước
卼	ngột, quỵ
卽	tức
巻	quyển
卿	khanh
厀	tất
厂	hán, xưởng
厄	ngỏa, ách
厅	sảnh, thính
历	lịch
厉	lại, lệ
厊	nhã
压	áp
厌	yêm, yếm, áp, ấp
厍	xá
厎	chi, chỉ, để
厏	trả
厓	nhai
厔	chất
厕	trắc, xí
质	chí, chất
厖	bàng, mang
厘	hi, li, ly, triền
厙	xá
厚	hậu
厛	sảnh, thính
厜	tuy
厝	thác, thố
厞	phi
原	nguyên, nguyện
虒	ti, ty, tư
厠	lịch, trắc, xí
厢	sương, tương
厣	áp
厩	cứu
厤	lịch
厥	quyết
厦	hạ
厨	trù
厫	ngao
厪	cần, cận
厯	lịch
厬	quỹ
厭	yêm, yếm, yểm, áp, ấp
厮	tư
厰	xưởng
厲	lại, lệ
厱	lam
靥	yếp, yểm
厳	nghiêm
赝	nhạn
厴	áp
厵	nguyên
厶	khư, mỗ
厷	hoành, quăng
厹	cầu, nhu, nhữu
厺	khứ
去	khu, khứ, khử
厾	đâu
县	huyền, huyện
叀	chuyên
叁	tam
参	sam, sâm, tam, tham, xam
參	sâm, tam, tham, tảm, xam
叄	tam, tham
叅	Tham, tham, xam
叆	ái
叇	đãi
又	hữu, hựu
叉	xoa
及	cập
友	hữu
双	song
反	phiên, phiến, phản
収	thâu
发	phát
叒	nhược
叔	thúc
叕	chuyết
取	thủ, tụ
受	thâu, thọ, thụ
变	biến, biện
艰	gian
叙	tự
叚	giá, giả
叛	bạn, phán
叜	tẩu
叟	sưu, tẩu
难	nan, nạn
叠	điệp
㕡	hác
叡	duệ
叢	tùng
口	khẩu
卟	kê
古	cổ
句	câu, cú, cấu
另	lánh
叧	lánh, quả
叨	thao, đao
叩	khấu
只	chích, chỉ
叫	khiếu
召	chiêu, thiệu, triệu
叭	bá
叮	đinh
可	khả, khắc
台	di, thai, đài
叱	sất
史	sử
右	hữu
叵	phả
叶	diệp, hiệp
号	hiệu, hào
司	ti, ty, tư
叹	thán
叻	lặc
叼	điêu
叽	cơ, ky, kỉ
吁	dụ, hu, hủ
吂	mang
吃	cật, ngật
各	các
吅	huyên, tuyên, tụng
吆	yêu
合	cáp, hiệp, hạp, hợp
吉	cát
吊	điếu
吋	thốn, đẩu
同	đồng
名	danh
后	hấu, hậu
吏	lại
吐	thổ
向	hướng, hưởng
吒	tra, trá
吓	hách, hạ, nha
吕	lã, lữ
吗	ma, mạ
吸	hấp
𫩕	hoành
吚	y
君	quân
吝	lận
吞	thôn
吟	ngâm
吠	phệ
吡	phỉ, tật
吢	khấm
吣	khấm
吥	bất
否	bĩ, bỉ, phầu, phủ
吧	ba
吨	đốn
吩	phân
吪	ngoa
含	hàm, hám
听	dẫn, ngân, thính
吭	hàng, hạng, khang
吮	duyện
启	khải, khể, khởi
吰	hoành
吱	chi, khi, tư
吲	sẩn
吳	ngô
吴	ngô
吵	sao, sảo
吶	niệt, nột
吷	huyết, xuyết
吹	xuy, xúy
吻	vẫn
吼	hống
吽	hống, hồng, ngâu, ngầu, oanh, ẩu
吾	ngô
吿	cáo, cốc
呀	a, nha
呂	lã, lữ
呃	ách
呆	bảo, ngai, ngốc
呈	trình
呉	ngô
告	cáo, cốc
呋	phu
呌	khiêu, khiếu
呎	xích
呏	thăng
呐	niệt, nột
呑	thôn
呒	mô
呓	nghệ
呕	hú, âu, ẩu
呖	lịch
呗	bái, bối
员	viên, vân
呛	sang, thương
呜	ô
𪠳	xa
呝	ách
呢	ni, nỉ
呣	mô
呤	linh
呥	nhiêm
呦	u
呧	để
周	chu, châu
呪	chú
呫	chiếp, thiếp, triệp, triệt, xiếp
呬	hi, hứ, linh
呭	duệ
呱	cô, oa
味	vị
呴	câu, cấu, ha, hu, hú, hấu, hống, hứa
呵	a, ha
呶	nao
呷	hạp
呸	phi, phôi
呺	hao, hiêu, hào
呻	hạp, thân
呼	hao, há, hô
命	mệnh, mạng
呾	thát, đán, đát
呿	khư
咀	chuỷ, trớ, tư, tứ, tữ
咁	cám, hàm
咂	táp
咃	tha
咄	đoát, đốt
咅	phôi, phủ
咆	bào
咇	biết, biệt, tất, tỵ
咈	phất, phật
咉	ương
咊	hòa
咋	trá, trách
和	hòa, họa, hồ
咍	hai, hải
咎	cao, cữu
咏	vịnh
咐	phó, phù
咑	đát
咒	chú
咔	ca
咕	cô
咖	ca, gia, già
咙	lung
咚	đông
咛	ninh
咼	oa, oai, qua, quai
哎	ai, ngải
鸣	minh
呰	tử
呲	thử
咠	thấp
咡	nhị
咢	ngạc
咣	quang
咤	sá, trá
咥	hí, hý, điệt
咦	di
咧	liệt, lệ
咨	tư
咩	mị
咪	mễ, mị
咫	chỉ
咬	giao, giảo, yêu
咭	cật, khiết, kê
咮	chu, trụ
咯	cách, khách, khạc, lạc
咱	cha, gia, ta
咲	tiếu
咳	hài, khái
咵	khoa
咶	hoái, oa, quát, thị
咷	đào
咸	giảm, hàm, hám
咺	huyến, tuyên, tuyển
咻	hú, hưu, hủ
咽	yên, yến, yết, ân, ế
咿	y
哀	ai
品	phẩm
哂	sẩn
哄	hống
哅	hung
哆	sỉ, xỉ, đá
哇	oa
哈	cáp, ha, hà
哉	tai
响	hưởng
哏	ngận
哑	a, nha, á, ách
哒	đát
哓	hiêu
哔	tất
哕	hối, uyết, uế
哗	hoa
哙	khoái
哜	tế, tễ
哝	nông
哞	mâu
哟	yêu
哪	na, ná, nả
唌	duyên, tiên
骂	mạ
㖊	tầm
𪡀	khiêu, kiều, kiệu
員	viên, vân
哢	lộng
哤	mang
哥	ca
哦	nga
哧	hách, xích
哨	sáo, tiêu, tiếu
哩	ly, lí, lý
哫	túc
哭	khốc
哮	hao
哰	lao
哱	bột, phá
哲	triết
哳	triết
哴	lang
哶	mã
哷	liệt
哹	phù
哺	bu, bô, bộ
哼	hanh
哽	ngạnh
哿	cả, gia, khả
唁	nghiễn, ngạn
唄	bái, bại, bối
唅	ham, hàm, hám
唆	toa
唇	chấn, thần
唈	ấp
唉	ai
唊	giáp, khiểm
唎	lợi
唏	hi, hy, hý
唐	đường
唒	dẫu
唓	xa
唔	mô, ngô, ân
唕	tạo
唗	đâu, đẩu
唘	khải, khởi
唛	mạ, mạch
唝	cống
唠	lao, lạo
唡	lượng
唢	tỏa
唣	tạo
唤	hoán
唧	tức
唴	khảng
啊	a, á
唪	phủng
唫	cấm, cẩm, ngâm
唬	hao, hào, hách, hạ, hổ, quách
唭	khi, khí
售	thụ
唯	duy, dụy
唰	loát, lạt
唱	xướng
唲	nhi, oa
唳	lệ
唵	án, úm, ảm
唶	giới, trách, tá, tắc
唷	dục
唸	niệm, điếm
唼	thiếp, xiếp, xiệp
唾	thóa
唿	hốt
啀	nhai
啁	chu, chù, triêu, trào, trù
啃	khẳng
啄	trác, trụ
啅	trác
商	thương
啇	đích
啈	hanh, hạnh
啉	lam, lâm
啍	ngôn, thôn, truân
啎	ngỗ, ngộ
問	vấn
啐	ngạt, thối, tát, tối
啑	tiệp, xiếp, xiệp, điệp
啓	khải, khởi
啔	khải
啕	đào
啖	đạm
啗	đạm
啘	uyển
啚	bỉ, đồ
啜	xuyết
啞	a, nha, nhạ, á, ách
啟	khải, khởi
啡	phi, phê, phôi, phỉ
啢	lượng, lạng
啤	bì, ti, ty, tỳ
啥	xá
啦	lạp
啧	sách, trách
啪	ba
啬	sắc
啭	chuyển
啮	khiết, ngão, niết
啰	la
啴	than, xiển
啵	ba
啶	đính
啷	lang
啸	khiếu
喎	oa, oai
喏	nhạ, nặc
喵	miêu
営	dinh, doanh
啙	tử, tỳ
啣	hàm
啻	sí, thí, thỉ, xí
啼	đề
啽	ngàm
啾	thu, tưu
啿	đảm
喀	ca, khách
喁	ngu, ngung, vu
喂	uy, úy, ủy
喃	nam
善	thiến, thiện
喆	triết, đề
喇	lạt
喈	dê, giai
喉	hầu
喊	hám, hảm
喋	điệp
喌	châu
喑	âm, ấm
喒	cha, gia, ta, tàm
喓	yêu
喔	ác, ốc
喘	suyễn
喙	huế, uế
喚	hoán
喜	hi, hí, hý, hỉ, hỷ
喝	hát, hạt, ái, ới
喞	tức
喟	vị
喢	sáp
喣	hú
喤	hoàng
喥	đạc
喦	nham
喧	huyên
喨	lượng
喩	dụ
喪	tang, táng
喫	khiết
喬	kiêu, kiều
喭	ngạn
單	thiền, thiện, đan, đơn, đạn
喱	ly
喲	yêu, ước
喳	tra
喴	uy
喷	phôn, phún
喹	khuê
喻	du, dụ
喽	lâu
喾	khốc
嗏	chà, trà
嗒	tháp, đáp
嗖	sưu
